m_B	t_RT1	T_drawH	m_C	t_RT2	T_methyl	yield
2.66	8.45	-39	3.15	121.2	-30	54.65
2.65	4.23	-39	3.15	121.2	-30	74.50
2.66	2.07	-39	3.15	121.2	-30	72.93
2.13	4.81	-39	3.15	121.2	-30	48.80
3.13	3.70	-39	3.15	121.2	-30	71.73
2.07	9.14	-34	0.71	8.64	-35	24.49
2.22	9.37	-33	1.62	8.31	-33	26.07
2.15	9.06	-31	2.0	7.81	-33	39.67
2.09	9.21	-31	2.25	7.78	-33	46.24
2.09	9.16	-33	2.61	7.55	-33	48.80
2.20	4.7	-31	2.77	3.85	-33	50.38
2.07	9.34	-34	2.34	278.6	-35	49.25
2.07	9.34	-34	2.34	131.8	-35	61.63
2.07	9.34	-34	2.34	69.83	-35	44.05
2.63	4.15	-34	2.33	127.1	-34	79.30
2.62	4.14	-34	2.61	124.6	-34	78.52
2.63	4.16	-36	3.15	121.2	-35	82.95
2.55	36.57	-35	2.53	142.1	-35	81.97
2.55	36.57	-35	2.53	263.5	-35	86.30
2.69	34.9	-23	2.55	135.6	-23	83.32
2.69	34.9	-23	2.55	252.6	-23	83.42
2.73	34.35	-23	2.71	132.4	-23	81.66
2.70	35.44	-17.3	2.50	15.56	-12	59.30
2.70	35.44	-17.3	2.51	138.7	-12	75.42
2.65	35.45	-25.1	2.52	15.52	-24	82.32
2.65	35.45	-25.1	2.52	138.7	-24	83.42
2.61	35.25	-34.3	2.34	15.57	-34	80.59
2.61	35.25	-34.3	2.34	138.9	-34	87.69
2.63	35.43	-49	2.52	15.50	-41	78.97
2.63	35.43	-49	2.52	138.2	-41	81.32
