m_B,t_RT1,T_drawH,m_C,t_RT2,T_methyl,yield,selectivity
2.66,8.45,-39.0,3.15,121.2,-30,54.65,90.57
2.65,4.23,-39.0,3.15,121.2,-30,74.5,86.99
2.66,2.07,-39.0,3.15,121.2,-30,72.93,84.9
3.13,3.7,-39.0,3.15,121.2,-30,71.73,80.67
2.07,9.14,-34.0,0.71,8.64,-35,24.49,52.03
2.15,9.06,-31.0,2.0,7.81,-33,39.67,72.75
2.09,9.21,-31.0,2.25,7.78,-33,46.24,78.43
2.09,9.16,-33.0,2.61,7.55,-33,48.8,80.33
2.2,4.7,-31.0,2.77,3.85,-33,50.38,88.16
2.07,9.34,-34.0,2.34,278.6,-35,49.25,86.4
2.07,9.34,-34.0,2.34,69.83,-35,44.05,94.9
2.63,4.15,-34.0,2.33,127.1,-34,79.3,94.25
2.62,4.14,-34.0,2.61,124.6,-34,78.52,92.66
2.63,4.16,-36.0,3.15,121.2,-35,82.95,96.02
2.55,36.57,-35.0,2.53,142.1,-35,81.97,94.06
2.69,34.9,-23.0,2.55,87.34,-23,82.14,94.06
2.69,34.9,-23.0,2.55,135.6,-23,83.32,95.76
2.69,34.9,-23.0,2.55,252.6,-23,83.42,94.77
2.73,34.35,-23.0,2.71,132.4,-23,81.66,94.6
2.7,35.44,-17.3,2.5,15.56,-12,59.3,64.72999999999999
2.7,35.44,-17.3,2.51,138.7,-12,75.42,89.15
2.65,35.45,-25.1,2.52,15.52,-24,82.32,96.95
2.65,35.45,-25.1,2.52,138.7,-24,83.42,95.29
2.63,35.43,-49.0,2.52,15.5,-41,78.97,98.43
2.63,35.43,-49.0,2.52,138.2,-41,81.32,98.53
